番号,section,単語,意味
1,section1,victory,勝利、征服
2,section1,please,～を喜ばせる、～を満足させる；好む、欲する
3,section1,party,党、政党；一行、仲間；当事者、関係者、共犯者；相手方；パーティー
4,section1,overcome,～に打ち勝つ；～を克服する; (be overcome）うちのめされる
5,section1,comprehend,～を理解する；～を包含する
6,section1,able,できる (be able to V=can V)；有能な、能力のある
7,section1,academic,学問の、学究的な；学園の、大学（教育）の
8,section1,favor,好意、親切な行為；支持；～に賛成する；～をえこひいきする
9,section1,bend,～を曲げる；曲がる
10,section1,fluent,流暢な、緩やかな
11,section1,improve,～を改良する、～を改善する；よくなる
12,section1,advance,～を進める；～を昇進させる；前進、進歩；昇進
13,section1,marvelous,驚くべき、不思議な；素晴らしい
14,section1,grateful,感謝している
15,section1,appreciate,～を正しく理解する；～を正しく評価する；～を鑑賞する；～を感謝する
16,section1,content,（～に）満足して；満足している；（スピーチ、論文などの）内容、中身
17,section1,congratulate,～を祝う；～におめでとうと言う；～にお祝いを言う
18,section1,prosperity,繁栄、幸運
19,section1,persist,固執する；主張し続ける；(辛抱強く)～し続ける；（慣習等が）存続する
20,section1,flourish,繁栄する、生い茂る；活躍する
21,section1,glorious,栄光ある、すばらしい、輝かしい、名誉な
22,section1,thrive,栄える；うまくやっている；成長する
23,section1,inborn,生まれつきの、生来の
24,section1,inherent,本来備わっている、（～に）固有の
25,section1,inherit,～を受け継ぐ、～を相続する
26,section1,sermon,（教会での）説教；小言
27,section1,bliss,至福
28,section1,sacred,神聖な
29,section1,ritual,（伝統的・宗教的な）儀式；日常の習慣的行為
30,section1,advocate,～を主張する、唱える、支持する；支持者、主張・提唱者
31,section1,knight,騎士
32,section1,playwright,脚本家、劇作家
33,section1,region,地域、地方；分野、領域；（身体の）部分
34,section1,population,人口；住民；集団
35,section1,custom,慣習；習慣；（商店などへの）愛顧；（～s）関税、税関
36,section1,popular,人気のある；大衆的な、一般の、国民の
37,section1,invite,～を招待する、～を誘う；～に（～することを）勧める
38,section1,obtain,～を得る
39,section1,greet,～にあいさつをする、～を歓迎する
40,section1,violate,～に違反する、～を侵害する、～に暴行する
41,section1,violent,激しい、乱暴な、暴力的な、猛烈な
42,section1,unemployment,失業（状態）；失業率
43,section1,fire,（労働者）を首にする；（銃など）を発射する
44,section1,employ,～を雇う、～を用いる
45,section1,demonstrate,～を（実例で）説明する、～を実演する、～を証明する
46,section1,merchant,貿易商、商人
47,section1,military,軍（隊）の；軍人の
48,section1,weapon,武器、兵器
49,section1,status,地位、身分；状況；高い社会的地位
50,section1,purchase,～を購入する
51,section1,garbage,ゴミ；くだらないもの
52,section1,luxury,豪華なもの；贅沢（品）
53,section1,domestic,家庭の、家庭的な；国内の；飼い慣らされた
54,section1,realm,領域、分野；王国
55,section1,democrat,民主主義者；民主党議員
56,section1,salute,会釈する；敬礼する
57,section1,dismiss,～を解雇する；～を捨てる；～を解散する；～を退ける
58,section1,hierarchy,階級制度、ヒエラルキー; 支配層
59,section1,republic,共和国；団体、社会
60,section1,grocery,食料雑貨店、（～ies）食料雑貨（品）
61,section1,peasant,小作農；農民
62,section1,autocrat,独裁者、専制君主
63,section1,monarch,君主、皇帝
64,section1,regime,政権；（社会）制度、体制
65,section1,absorb,～を吸収する；～の心を奪う；～を夢中にさせる
66,section1,deal,扱う
67,section1,gather,～を集める；～だとわかる；（～である）と推測する、（速度など）を増す
68,section1,gaze,じっと見つめる、見つめる
69,section1,glance,ちらりと見る、ざっと見る
70,section1,glimpse,ちらりと見る、（～が）ちらりと見える
71,section1,observe,（法律など）を守る；（祝祭日など）を祝う；～を観察する;～と言う
72,section1,remind,（人）に思い出させる；～に（...を）気づかせる
73,section1,remember,～を思い出す、～を覚えている；～のことをよろしくと伝える
74,section1,include,～を含む、～を同封する
75,section1,profit,利益
76,section1,benefit,恩恵；利益
77,section1,stare,じっと見つめる
78,section1,recollect,～を思い出す
79,section1,recall,～を思い出す；～を回収する
80,section1,defend,～を守る、～を弁護する
81,section1,offend,～を怒らせる、～を不快にさせる
82,section1,miss,～に間に合わない；～しそこなう；～がないのを寂しく思う；(狙い)をはずす
83,section1,presume,～を推定する；（～である）と思う
84,section1,protest,～に抗議する
85,section1,irritate,～をいらいらさせる
86,section1,banish,～を追放する
87,section1,vanish,（突然、または完全に）消える；（完全に）消滅する；薄れる
88,section1,assault,攻撃、暴行
89,section1,surrender,降伏する；（感情などに）身を任せる
90,section1,dispute,（～について）論争する、議論する
91,section1,repent,～を後悔する、～を残念に思う
92,section1,reconcile,～を和解させる、～を調和させる；（運命・損失などに）甘んじる
93,section1,agitate,～を動揺（興奮）させる、～を扇動する；～をかくはんする
94,section1,manipulate,～を巧みに扱う、～をうまく処理する；(人、世論等）を操作する
95,section1,persecute,～を迫害する；～を悩ます
96,section1,provoke,～を怒らせる；(感情など）を起こさせる；～を駆り立てる
97,section1,environment,（自然）環境、（周囲の）環境
98,section1,atmosphere,雰囲気；大気；空気
99,section1,hell,地獄
100,section1,heaven,天国；（H～で）神
101,section2,major,主要な；大多数の；重要な；より大きな
102,section2,minor,小さな；重要でない、主要でない、下位の；たいしたことがない
103,section2,harbor,港、湾；避難所、隠れ場所
104,section2,subway,地下鉄（アメリカ用法）；地下道（イギリス用法）
105,section2,tremendous,巨大な、莫大な；すさまじい、ものすごい
106,section2,vast,広大な；莫大な
