番号,section,単語,意味
1,section1,vital,(～にとって)非常に重要な(to、 for～)； 生命の
2,section1,vivid,生き生きとした、 鮮やかな
3,section1,revive,～を生き返らせる、 生き返る
4,section1,essential,(～にとって)重要な、 必要不可欠な(to、 for～)； 本質的な
5,section1,indispensable,(～にとって)重要な、 必要不可欠な(to、 for～)
6,section1,crucial,決定的な、 極めて重要な
7,section1,significance,重要性
8,section1,consequence,結果、 重要さ
9,section1,matter,事柄、 問題； 重要である
10,section1,count,～を数える； 重要である
11,section1,make a difference,重要である
12,section1,trivial,ささいな、 ありふれた
13,section1,trifle,ささいな事、 くだらない事
14,section1,common,共通の、 よくある、 一般的な、 ありふれた
15,section1,ordinary,普通の、 通常の、 ありふれた
16,section1,familiar,(～に)よく知られた(to～)； (～に)精通している(with～)； 親しい
17,section1,emphasize,～を強調する
18,section1,stress,～を強調する； ストレス、 重点、 強調
19,section1,neglect,～を(うっかり)怠る、 ～を無視する
20,section1,ignore,～を無視する、 ～を知らないふりをする
21,section1,eminent,著名な
22,section1,prominent,目立った； 有名な
23,section1,primary,第1の、 主要な
24,section1,tiny,ちっぽけな
25,section1,slight,わずかな、 取るに足らない
26,section1,character,性格、 人格、 特徴、 登場人物、 文字
27,section1,feature,(目立った)特徴、 顔立ち； ～を特集する、 呼び物にする
28,section1,trait,特徴、 特色
29,section1,typical,典型的な、 (～)らしい(of～)
30,section1,unique,(～に)特有の(to～)、 独自の； 唯一の
31,section1,peculiar,(～に)特有の(to～)； 風変わりな
32,section1,particular,特定の、 特別の
33,section1,general,全般的な、 一般的な
34,section1,specify,～を特定する
35,section1,distinguish,～を(…と)区別する、 見分ける(from…)
36,section1,define,～を定義する、 明確にする
37,section1,vague,曖昧な、 漠然とした
38,section1,obscure,不明瞭な、 ぼやけた； 世に知られていない
39,section1,ambiguous,曖昧な、 どちらともとれる
40,section1,obvious,明白な
41,section1,evident,明白な
42,section1,apparent,見たところの、 明白な
43,section1,respect,尊敬、 尊重、 (in)点、 事項； ～を尊敬する、 尊重する
44,section1,aspect,(in)側面、 様相、 点
45,section1,detail,(in)詳細
46,section1,precise,正確な
47,section1,accurate,正確な
48,section1,structure,構造、 構成、 骨格
49,section1,construct,～を建設する、 組み立てる
50,section1,destroy,～を破壊する、 滅ぼす
51,section1,architecture,建築、 建築学
52,section1,constitute,～を構成する、 占める； 設立する
53,section1,institute,～(法律・制度)を制定する； 協会、 研究所
54,section1,substitute,～を(…の代わりに)代用する(for…)； 代用品、 代理人
55,section1,stable,安定した
56,section1,establish,～を設立する、 確立する
